# Run started=2026-07-13 20:23:22 graph=DBLP method=ReleaseV4 data_root=data graph_folder=data\DBLP query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\DBLP\ReleaseV4\default rss_mb=873.281 peak_rss_mb=873.285
query=1 best=5.6765018667 wall_ms=19095.747 rss_before_mb=873.457 rss_after_mb=882.410 peak_rss_mb=1378.258
query=2 best=4.9902920377 wall_ms=11719.420 rss_before_mb=882.426 rss_after_mb=882.793 peak_rss_mb=1378.258
query=3 best=5.9622085153 wall_ms=18271.483 rss_before_mb=882.793 rss_after_mb=883.191 peak_rss_mb=1379.098
query=4 best=5.9300381807 wall_ms=19989.815 rss_before_mb=883.191 rss_after_mb=883.301 peak_rss_mb=1415.184
query=5 best=5.9205110331 wall_ms=14795.140 rss_before_mb=883.301 rss_after_mb=883.242 peak_rss_mb=1415.184
query=6 best=5.9499261823 wall_ms=16832.693 rss_before_mb=883.242 rss_after_mb=883.238 peak_rss_mb=1415.184
query=7 best=6.1432690578 wall_ms=18787.691 rss_before_mb=883.238 rss_after_mb=883.145 peak_rss_mb=1415.184
query=8 best=5.8782592989 wall_ms=16859.783 rss_before_mb=883.145 rss_after_mb=883.875 peak_rss_mb=1415.184
query=9 best=5.9526910949 wall_ms=18396.798 rss_before_mb=883.875 rss_after_mb=883.875 peak_rss_mb=1415.184
query=10 best=5.9148691335 wall_ms=14897.282 rss_before_mb=883.875 rss_after_mb=883.875 peak_rss_mb=1415.184
query=11 best=4.9918142157 wall_ms=12057.818 rss_before_mb=883.875 rss_after_mb=883.875 peak_rss_mb=1415.184
query=12 best=5.4579357178 wall_ms=14735.296 rss_before_mb=883.875 rss_after_mb=883.875 peak_rss_mb=1415.184
query=13 best=4.9770780411 wall_ms=11646.852 rss_before_mb=883.875 rss_after_mb=883.875 peak_rss_mb=1415.184
query=14 best=3.8694959192 wall_ms=19920.521 rss_before_mb=883.875 rss_after_mb=883.875 peak_rss_mb=1415.828
query=15 best=4.7419437351 wall_ms=13488.148 rss_before_mb=883.875 rss_after_mb=883.879 peak_rss_mb=1415.828
query=16 best=4.9569392086 wall_ms=11893.672 rss_before_mb=883.879 rss_after_mb=883.879 peak_rss_mb=1415.828
query=17 best=4.9423994613 wall_ms=16225.956 rss_before_mb=883.879 rss_after_mb=883.879 peak_rss_mb=1415.828
query=18 best=5.0355359440 wall_ms=14862.502 rss_before_mb=883.879 rss_after_mb=883.895 peak_rss_mb=1415.828
query=19 best=4.5628770649 wall_ms=12903.768 rss_before_mb=883.895 rss_after_mb=883.895 peak_rss_mb=1415.828
query=20 best=5.6252640242 wall_ms=16331.897 rss_before_mb=883.895 rss_after_mb=883.895 peak_rss_mb=1415.828
query=21 best=4.1473499394 wall_ms=13376.266 rss_before_mb=883.895 rss_after_mb=883.895 peak_rss_mb=1415.828
query=22 best=4.1459020325 wall_ms=17178.786 rss_before_mb=883.895 rss_after_mb=883.895 peak_rss_mb=1415.828
