# Run started=2026-07-10 19:10:38 graph=Toronto method=ReleaseV1 data_root=data graph_folder=data\Toronto query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\Toronto\ReleaseV1\default rss_mb=15.832 peak_rss_mb=15.836
query=1 best=0.2582152999 n=46073 m=68353 g=5 saved_states=1270 peak_live_states=828 group_dist_ms=52.461 tsp_ms=0.023 upper_ms=0.793 dp_ms=9.283 total_ms=62.701 wall_ms=66.477 rss_before_mb=16.016 rss_after_mb=16.051 peak_rss_mb=19.410
query=2 best=0.3209028605 n=46073 m=68353 g=5 saved_states=10566 peak_live_states=6975 group_dist_ms=53.918 tsp_ms=0.018 upper_ms=0.873 dp_ms=12.771 total_ms=67.692 wall_ms=71.219 rss_before_mb=16.070 rss_after_mb=16.066 peak_rss_mb=19.457
query=3 best=0.3207338254 n=46073 m=68353 g=5 saved_states=8609 peak_live_states=5262 group_dist_ms=61.590 tsp_ms=0.018 upper_ms=0.896 dp_ms=11.883 total_ms=74.463 wall_ms=78.187 rss_before_mb=16.070 rss_after_mb=16.066 peak_rss_mb=19.523
query=4 best=0.2842622865 n=46073 m=68353 g=5 saved_states=9451 peak_live_states=6455 group_dist_ms=49.553 tsp_ms=0.018 upper_ms=0.944 dp_ms=12.218 total_ms=62.806 wall_ms=66.226 rss_before_mb=16.070 rss_after_mb=16.066 peak_rss_mb=19.523
query=5 best=0.2501471485 n=46073 m=68353 g=5 saved_states=3571 peak_live_states=2210 group_dist_ms=50.471 tsp_ms=0.018 upper_ms=0.773 dp_ms=9.828 total_ms=61.168 wall_ms=64.332 rss_before_mb=16.070 rss_after_mb=16.090 peak_rss_mb=19.523
query=6 best=0.2506975205 n=46073 m=68353 g=5 saved_states=2145 peak_live_states=1432 group_dist_ms=50.891 tsp_ms=0.018 upper_ms=0.762 dp_ms=9.336 total_ms=61.094 wall_ms=64.489 rss_before_mb=16.094 rss_after_mb=16.090 peak_rss_mb=19.523
query=7 best=0.1718753988 n=46073 m=68353 g=5 saved_states=301 peak_live_states=223 group_dist_ms=50.912 tsp_ms=0.018 upper_ms=0.556 dp_ms=8.706 total_ms=60.286 wall_ms=63.775 rss_before_mb=16.094 rss_after_mb=16.105 peak_rss_mb=19.523
query=8 best=0.2372146746 n=46073 m=68353 g=5 saved_states=816 peak_live_states=565 group_dist_ms=51.181 tsp_ms=0.018 upper_ms=0.736 dp_ms=9.438 total_ms=61.447 wall_ms=64.648 rss_before_mb=16.109 rss_after_mb=16.109 peak_rss_mb=19.523
query=9 best=0.3010823803 n=46073 m=68353 g=5 saved_states=6157 peak_live_states=3800 group_dist_ms=50.956 tsp_ms=0.018 upper_ms=0.809 dp_ms=10.816 total_ms=62.675 wall_ms=66.033 rss_before_mb=16.113 rss_after_mb=16.117 peak_rss_mb=19.523
query=10 best=0.2670728840 n=46073 m=68353 g=5 saved_states=3455 peak_live_states=2199 group_dist_ms=51.285 tsp_ms=0.029 upper_ms=0.713 dp_ms=10.079 total_ms=62.181 wall_ms=65.810 rss_before_mb=16.121 rss_after_mb=16.152 peak_rss_mb=19.523
query=11 best=0.1783130045 n=46073 m=68353 g=5 saved_states=4508 peak_live_states=2735 group_dist_ms=53.222 tsp_ms=0.018 upper_ms=0.756 dp_ms=10.237 total_ms=64.365 wall_ms=67.996 rss_before_mb=16.156 rss_after_mb=16.152 peak_rss_mb=19.523
query=12 best=0.2005114323 n=46073 m=68353 g=5 saved_states=8975 peak_live_states=6244 group_dist_ms=52.854 tsp_ms=0.019 upper_ms=0.736 dp_ms=12.068 total_ms=65.816 wall_ms=69.396 rss_before_mb=16.156 rss_after_mb=16.145 peak_rss_mb=19.523
query=13 best=0.1023549699 n=46073 m=68353 g=5 saved_states=1343 peak_live_states=784 group_dist_ms=50.518 tsp_ms=0.019 upper_ms=0.765 dp_ms=9.164 total_ms=60.603 wall_ms=64.082 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=14 best=0.1369391765 n=46073 m=68353 g=5 saved_states=2999 peak_live_states=1959 group_dist_ms=55.752 tsp_ms=0.018 upper_ms=0.745 dp_ms=9.620 total_ms=66.278 wall_ms=69.823 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=15 best=0.1828427712 n=46073 m=68353 g=5 saved_states=4916 peak_live_states=3009 group_dist_ms=54.735 tsp_ms=0.018 upper_ms=0.724 dp_ms=10.328 total_ms=65.943 wall_ms=69.612 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=16 best=0.0813748469 n=46073 m=68353 g=5 saved_states=361 peak_live_states=259 group_dist_ms=52.076 tsp_ms=0.019 upper_ms=0.699 dp_ms=8.590 total_ms=61.536 wall_ms=65.027 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=17 best=0.2003449170 n=46073 m=68353 g=5 saved_states=6875 peak_live_states=4981 group_dist_ms=48.194 tsp_ms=0.015 upper_ms=0.646 dp_ms=10.673 total_ms=59.633 wall_ms=62.772 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=18 best=0.0798674596 n=46073 m=68353 g=5 saved_states=473 peak_live_states=299 group_dist_ms=48.273 tsp_ms=0.018 upper_ms=0.764 dp_ms=8.677 total_ms=57.877 wall_ms=60.703 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=19 best=0.1516007317 n=46073 m=68353 g=5 saved_states=2834 peak_live_states=1664 group_dist_ms=50.635 tsp_ms=0.018 upper_ms=0.712 dp_ms=9.621 total_ms=61.125 wall_ms=64.443 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=20 best=0.0726480949 n=46073 m=68353 g=5 saved_states=519 peak_live_states=296 group_dist_ms=49.603 tsp_ms=0.018 upper_ms=0.712 dp_ms=8.688 total_ms=59.137 wall_ms=62.638 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=21 best=0.0489293074 n=46073 m=68353 g=5 saved_states=1146 peak_live_states=690 group_dist_ms=52.926 tsp_ms=0.020 upper_ms=0.662 dp_ms=9.137 total_ms=63.013 wall_ms=66.314 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=22 best=0.0545303684 n=46073 m=68353 g=5 saved_states=2310 peak_live_states=1512 group_dist_ms=54.095 tsp_ms=0.019 upper_ms=0.780 dp_ms=9.507 total_ms=64.659 wall_ms=67.841 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=23 best=0.0781585437 n=46073 m=68353 g=5 saved_states=3650 peak_live_states=2378 group_dist_ms=58.171 tsp_ms=0.021 upper_ms=0.672 dp_ms=10.117 total_ms=69.236 wall_ms=72.846 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=24 best=0.0449481800 n=46073 m=68353 g=5 saved_states=721 peak_live_states=363 group_dist_ms=58.882 tsp_ms=0.021 upper_ms=0.697 dp_ms=8.841 total_ms=68.731 wall_ms=72.471 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=25 best=0.0633787352 n=46073 m=68353 g=5 saved_states=1192 peak_live_states=758 group_dist_ms=57.624 tsp_ms=0.041 upper_ms=0.623 dp_ms=8.978 total_ms=67.554 wall_ms=71.200 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=26 best=0.0714209080 n=46073 m=68353 g=5 saved_states=2480 peak_live_states=1879 group_dist_ms=54.352 tsp_ms=0.020 upper_ms=0.775 dp_ms=9.870 total_ms=65.392 wall_ms=68.626 rss_before_mb=16.148 rss_after_mb=16.145 peak_rss_mb=19.523
query=27 best=0.0511472451 n=46073 m=68353 g=5 saved_states=537 peak_live_states=271 group_dist_ms=54.984 tsp_ms=0.018 upper_ms=0.511 dp_ms=7.933 total_ms=63.675 wall_ms=67.185 rss_before_mb=16.148 rss_after_mb=16.160 peak_rss_mb=19.523
query=28 best=0.0504006725 n=46073 m=68353 g=5 saved_states=1189 peak_live_states=748 group_dist_ms=51.426 tsp_ms=0.019 upper_ms=0.723 dp_ms=8.952 total_ms=61.385 wall_ms=64.461 rss_before_mb=16.164 rss_after_mb=16.160 peak_rss_mb=19.523
query=29 best=0.0473020273 n=46073 m=68353 g=5 saved_states=682 peak_live_states=360 group_dist_ms=51.546 tsp_ms=0.019 upper_ms=0.726 dp_ms=8.637 total_ms=61.142 wall_ms=64.531 rss_before_mb=16.164 rss_after_mb=16.164 peak_rss_mb=19.523
query=30 best=0.0973723379 n=46073 m=68353 g=5 saved_states=4697 peak_live_states=2831 group_dist_ms=53.531 tsp_ms=0.019 upper_ms=0.720 dp_ms=10.392 total_ms=64.937 wall_ms=68.143 rss_before_mb=16.168 rss_after_mb=16.164 peak_rss_mb=19.523
query=31 best=0.0193932512 n=46073 m=68353 g=5 saved_states=483 peak_live_states=327 group_dist_ms=64.272 tsp_ms=0.022 upper_ms=0.661 dp_ms=9.200 total_ms=74.737 wall_ms=78.446 rss_before_mb=16.168 rss_after_mb=16.164 peak_rss_mb=19.523
query=32 best=0.0174620587 n=46073 m=68353 g=5 saved_states=845 peak_live_states=688 group_dist_ms=59.562 tsp_ms=0.020 upper_ms=0.584 dp_ms=8.820 total_ms=69.471 wall_ms=73.476 rss_before_mb=16.168 rss_after_mb=16.188 peak_rss_mb=19.523
query=33 best=0.0132615198 n=46073 m=68353 g=5 saved_states=157 peak_live_states=90 group_dist_ms=56.661 tsp_ms=0.021 upper_ms=0.513 dp_ms=8.619 total_ms=66.287 wall_ms=69.924 rss_before_mb=16.188 rss_after_mb=16.188 peak_rss_mb=19.523
query=34 best=0.0180950427 n=46073 m=68353 g=5 saved_states=760 peak_live_states=457 group_dist_ms=62.514 tsp_ms=0.020 upper_ms=0.708 dp_ms=8.969 total_ms=72.691 wall_ms=76.457 rss_before_mb=16.188 rss_after_mb=16.188 peak_rss_mb=19.523
query=35 best=0.0207806680 n=46073 m=68353 g=5 saved_states=376 peak_live_states=189 group_dist_ms=61.083 tsp_ms=0.021 upper_ms=0.720 dp_ms=8.801 total_ms=71.089 wall_ms=74.796 rss_before_mb=16.188 rss_after_mb=16.188 peak_rss_mb=19.523
query=36 best=0.0098715503 n=46073 m=68353 g=5 saved_states=82 peak_live_states=43 group_dist_ms=56.897 tsp_ms=0.021 upper_ms=0.674 dp_ms=8.065 total_ms=66.102 wall_ms=69.737 rss_before_mb=16.188 rss_after_mb=16.188 peak_rss_mb=19.523
query=37 best=0.0318150783 n=46073 m=68353 g=5 saved_states=1292 peak_live_states=725 group_dist_ms=50.319 tsp_ms=0.019 upper_ms=0.708 dp_ms=7.940 total_ms=59.311 wall_ms=62.706 rss_before_mb=16.188 rss_after_mb=16.188 peak_rss_mb=19.523
query=38 best=0.0289218925 n=46073 m=68353 g=5 saved_states=975 peak_live_states=632 group_dist_ms=52.177 tsp_ms=0.019 upper_ms=0.819 dp_ms=8.828 total_ms=62.251 wall_ms=65.157 rss_before_mb=16.188 rss_after_mb=16.188 peak_rss_mb=19.523
query=39 best=0.0267651083 n=46073 m=68353 g=5 saved_states=1169 peak_live_states=777 group_dist_ms=58.311 tsp_ms=0.020 upper_ms=0.637 dp_ms=8.831 total_ms=68.294 wall_ms=71.577 rss_before_mb=16.188 rss_after_mb=16.195 peak_rss_mb=19.523
