# Run started=2026-07-13 20:20:42 graph=Toronto method=ReleaseV4 data_root=data graph_folder=data\Toronto query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\Toronto\ReleaseV4\default rss_mb=15.828 peak_rss_mb=15.832
query=1 best=0.2582152999 wall_ms=99.617 rss_before_mb=16.023 rss_after_mb=16.152 peak_rss_mb=22.156
query=2 best=0.3209028605 wall_ms=118.150 rss_before_mb=16.172 rss_after_mb=16.188 peak_rss_mb=22.199
query=3 best=0.3207338254 wall_ms=101.598 rss_before_mb=16.188 rss_after_mb=16.191 peak_rss_mb=22.199
query=4 best=0.2842622865 wall_ms=126.712 rss_before_mb=16.191 rss_after_mb=16.195 peak_rss_mb=22.199
query=5 best=0.2501471485 wall_ms=105.828 rss_before_mb=16.195 rss_after_mb=16.195 peak_rss_mb=22.199
query=6 best=0.2506975205 wall_ms=99.854 rss_before_mb=16.195 rss_after_mb=16.195 peak_rss_mb=22.199
query=7 best=0.1718753988 wall_ms=89.624 rss_before_mb=16.195 rss_after_mb=16.195 peak_rss_mb=22.285
query=8 best=0.2372146746 wall_ms=121.791 rss_before_mb=16.195 rss_after_mb=16.195 peak_rss_mb=22.285
query=9 best=0.3010823803 wall_ms=117.615 rss_before_mb=16.195 rss_after_mb=16.203 peak_rss_mb=22.285
query=10 best=0.2670728840 wall_ms=111.666 rss_before_mb=16.203 rss_after_mb=16.211 peak_rss_mb=22.285
query=11 best=0.1783130045 wall_ms=118.037 rss_before_mb=16.211 rss_after_mb=16.199 peak_rss_mb=22.324
query=12 best=0.2005114323 wall_ms=127.166 rss_before_mb=16.199 rss_after_mb=16.203 peak_rss_mb=22.492
query=13 best=0.1023549699 wall_ms=108.741 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
query=14 best=0.1369391765 wall_ms=96.638 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
query=15 best=0.1828427712 wall_ms=115.195 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
query=16 best=0.0813748469 wall_ms=84.956 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
query=17 best=0.2003449170 wall_ms=101.258 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
query=18 best=0.0798674596 wall_ms=89.581 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
query=19 best=0.1516007317 wall_ms=106.093 rss_before_mb=16.203 rss_after_mb=16.203 peak_rss_mb=22.492
