query=1 V=78.2390297601 stage1_total=47826372 ltV=27713699 ltV2=1967409 ltV4=9279 ltV8=273
query=2 V=117.2917355821 stage1_total=29165820 ltV=24309865 ltV2=5910267 ltV4=429996 ltV8=2555
query=3 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=4 V=75.3438613815 stage1_total=11665147 ltV=7353706 ltV2=313057 ltV4=1763 ltV8=208
query=5 V=0.0000000000 stage1_total=2332996 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=6 V=17.5321649182 stage1_total=2332992 ltV=175 ltV2=10 ltV4=8 ltV8=8
query=7 V=71.7013306954 stage1_total=11665394 ltV=7510582 ltV2=591248 ltV4=1217 ltV8=71
query=8 V=109.5996953764 stage1_total=114317470 ltV=73746205 ltV2=6899683 ltV4=307185 ltV8=3036
query=9 V=0.0000000000 stage1_total=2 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=10 V=161.4366468223 stage1_total=188972439 ltV=186801168 ltV2=34831918 ltV4=1728786 ltV8=11709
query=11 V=129.8065089327 stage1_total=47826368 ltV=45473191 ltV2=9760954 ltV4=584534 ltV8=1404
query=12 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=13 V=58.9188657021 stage1_total=6998994 ltV=2849370 ltV2=286822 ltV4=1832 ltV8=188
query=14 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=15 V=88.3056471473 stage1_total=29162465 ltV=20161193 ltV2=2299613 ltV4=14502 ltV8=286
query=16 V=89.5116774424 stage1_total=47826444 ltV=33585836 ltV2=2894117 ltV4=16423 ltV8=503
query=17 V=86.2025040187 stage1_total=2332992 ltV=1218248 ltV2=175742 ltV4=13 ltV8=2
query=18 V=44.4911514804 stage1_total=6999789 ltV=1327229 ltV2=34203 ltV4=828 ltV8=337
query=19 V=57.4709597760 stage1_total=2332992 ltV=728144 ltV2=1322 ltV4=22 ltV8=5
query=20 V=97.4688259810 stage1_total=11665038 ltV=9561748 ltV2=1776053 ltV4=221952 ltV8=1215
query=21 V=41.2649643349 stage1_total=2332994 ltV=333332 ltV2=81 ltV4=18 ltV8=13
query=22 V=59.9170695020 stage1_total=2332998 ltV=623213 ltV2=41 ltV4=13 ltV8=5
